Provincia,Último escaño,Votos recibidos,Aspirante,Votos recibidos,Diferencia votos,% Mejora aspirante
Tenerife,PSOE,102892,C's,50257,1189,"0,24"
Madrid,PP,1210219,PSOE,645645,6013,"0,93"
Cáceres,PSOE,84758,UPodemos,41982,397,"0,95"
Asturias,PP,187568,UPodemos,185567,2001,"1,08"
Lleida,PSOE,24668,DL,48289,1407,"2,91"
Vizcaya,UPodemos,189194,PNV,182604,6590,"3,61"
Granada,UPodemos,109672,PP,158693,5815,"3,66"
Barcelona,PP,321980,PSOE,464588,18382,"3,96"
Barcelona,PP,321980,Cs,387061,15414,"3,98"
Granada,UPodemos,109672,PSOE,158027,6481,"4,10"
Sevilla,PP,275463,C's,142574,5882,"4,13"
Las Palmas,UPodemos,151845,PP,145372,6473,"4,45"
Cáceres,PP,87924,UPodemos,41982,1980,"4,72"
Valencia,UPodemos,466168,Cs,221896,11189,"5,04"
Valencia,UPodemos,466168,PP,442578,23590,"5,33"
Cádiz,PP,179319,Pod,179319,9704,"5,41"
Baleares,PP,140640,PSOE,88635,5125,"5,78"
Alicante,PSOE,188711,PP,297083,17437,"5,87"
Barcelona,PP,321980,DL,378723,23752,"6,27"
Toledo,Cs,53199,PP,149442,10155,"6,80"
Barcelona,ERC,414163,Psoe,464588,32410,"6,98"
Barcelona,ERC,414163,Cs,387061,27102,"7,00"
Alicante,PSOE,188711,UPodemos,235007,16609,"7,07"
Segovia,PP,36182,UPodemos,16886,1205,"7,14"
Badajoz,PSOE,148493,PSOE,148493,10854,"7,31"
Toledo,PSOE,106988,PP,149442,11040,"7,39"
Salamanca,Cs,35242,UPodemos,32760,2482,"7,58"
Córdoba,C's,55812,UPodemos,68740,5234,"7,61"
Álava,PodIU,55227,PSOE,25331,2283,"9,01"
Badajoz,PSOE,148493,Cs,45350,4148,"9,15"
Murcia,Cs,128570,PP,293943,27482,"9,35"
Lleida,PSOE,24668,PP,22360,2308,"10,32"
Zaragoza,PSOE,118936,PP,161662,16742,"10,36"
A Coruña,Cs,66784,PP,239303,27833,"11,63"
Tenerife,PSOE,102892,PP,138203,16135,"11,67"
Teruel,UPodemos,15792,PP,28282,3302,"11,68"
Córdoba,C's,55812,PSOE,149851,17585,"11,73"
Pontevedra,PSOE,118988,UPodemos,159638,18844,"11,80"
Palencia,PP,42182,UPodemos,18782,2309,"12,29"
Guipuzkoa,PNV,91359,Bildu,81257,10102,"12,43"
Valencia,UPodemos,466168,psoe,276188,34592,"12,52"
Zamora,PP,48160,UPodemos,21379,2701,"12,63"
A Coruña,Cs,66784,UPodemos,177581,22771,"12,82"
Almería,C's,44494,PP,117635,15847,"13,47"
Almería,PSOE,89434,PP,117635,16516,"14,04"
Castellón,Cs,48328,UPodemos,84337,12319,"14,61"
A Coruña,PSOE,137734,PP,239303,36165,"15,11"
Segovia,PP,36182,Cs,15665,2426,"15,49"
Pontevedra,PSOE,118988,Cs,51453,8041,"15,63"
A Coruña,PSOE,137734,UPodemos,177581,29020,"16,34"
Huelva,PP,74353,PSOE,95637,15893,"16,62"
Castellón,PP,98474,UPodemos,84337,14137,"16,76"
